author_code,author_name,dblp_link,count
1000, Arun Iyengar,  https://dblp.uni-trier.de/pers/hd/i/Iyengar:Arun, 9
1001, Michael Dahlin,  https://dblp.uni-trier.de/pers/hd/d/Dahlin:Michael, 2
1002, Peter F. Patel-Schneider,  https://dblp.uni-trier.de/pers/hd/p/Patel=Schneider:Peter_F=, 2
1003, Ian Horrocks,  https://dblp.uni-trier.de/pers/hd/h/Horrocks:Ian, 11
1004, Yuzhong Qu,  https://dblp.uni-trier.de/pers/hd/q/Qu:Yuzhong, 8
1005, Wei Hu,  https://dblp.uni-trier.de/pers/hd/h/Hu_0007:Wei, 2
1006, Gong Cheng,  https://dblp.uni-trier.de/pers/hd/c/Cheng:Gong, 5
1007, Shumeet Baluja,  https://dblp.uni-trier.de/pers/hd/b/Baluja:Shumeet, 4
1008, Takuya Maekawa,  https://dblp.uni-trier.de/pers/hd/m/Maekawa:Takuya, 4
1009, Takahiro Hara,  https://dblp.uni-trier.de/pers/hd/h/Hara:Takahiro, 16
1010, Shojiro Nishio,  https://dblp.uni-trier.de/pers/hd/n/Nishio:Shojiro, 10
1011, Baoning Wu,  https://dblp.uni-trier.de/pers/hd/w/Wu:Baoning, 5
1012, Brian D. Davison,  https://dblp.uni-trier.de/pers/hd/d/Davison_0001:Brian_D=, 24
1013, Andre Luiz da Costa Carvalho,  https://dblp.uni-trier.de/pers/hd/c/Carvalho:Andr=eacute=_Luiz_da_Costa, 3
1014, Paul-Alexandru Chirita,  https://dblp.uni-trier.de/pers/hd/c/Chirita:Paul=Alexandru, 6
1015, Edleno Silva de Moura,  https://dblp.uni-trier.de/pers/hd/m/Moura:Edleno_Silva_de, 16
1016, Pavel Calado,  https://dblp.uni-trier.de/pers/hd/c/Calado:P=aacute=vel, 6
1017, Wolfgang Nejdl,  https://dblp.uni-trier.de/pers/hd/n/Nejdl:Wolfgang, 51
1018, Alexandros Ntoulas,  https://dblp.uni-trier.de/pers/hd/n/Ntoulas:Alexandros, 8
1019, Marc Najork,  https://dblp.uni-trier.de/pers/hd/n/Najork:Marc, 10
1020, Dennis Fetterly,  https://dblp.uni-trier.de/pers/hd/f/Fetterly:Dennis, 5
1021, Margaret Gaitatzes Kostoulas,  https://dblp.uni-trier.de/pers/hd/k/Kostoulas:Margaret_Gaitatzes, 2
1022, Morris Matsa,  https://dblp.uni-trier.de/pers/hd/m/Matsa:Morris, 2
1023, Noah Mendelsohn,  https://dblp.uni-trier.de/pers/hd/m/Mendelsohn:Noah, 2
1024, Eric Perkins,  https://dblp.uni-trier.de/pers/hd/p/Perkins:Eric, 2
1025, Abraham Heifets,  https://dblp.uni-trier.de/pers/hd/h/Heifets:Abraham, 2
1026, Shuohao Zhang,  https://dblp.uni-trier.de/pers/hd/z/Zhang:Shuohao, 2
1027, Curtis E. Dyreson,  https://dblp.uni-trier.de/pers/hd/d/Dyreson:Curtis_E=, 18
1028, Mustaque Ahamad,  https://dblp.uni-trier.de/pers/hd/a/Ahamad:Mustaque, 2
1029, Eelco Herder,  https://dblp.uni-trier.de/pers/hd/h/Herder:Eelco, 3
1030, Sheizaf Rafaeli,  https://dblp.uni-trier.de/pers/hd/r/Rafaeli:Sheizaf, 2
1031, Ding Zhou,  https://dblp.uni-trier.de/pers/hd/z/Zhou:Ding, 9
1032, Eren Manavoglu,  https://dblp.uni-trier.de/pers/hd/m/Manavoglu:Eren, 3
1033, Jia Li,  https://dblp.uni-trier.de/pers/hd/l/Li:Jia, 5
1034, C. Lee Giles,  https://dblp.uni-trier.de/pers/hd/g/Giles:C=_Lee, 49
1035, Hongyuan Zha,  https://dblp.uni-trier.de/pers/hd/z/Zha:Hongyuan, 37
1036, Daniel N. Meredith,  https://dblp.uni-trier.de/pers/hd/m/Meredith:Daniel_N=, 2
1037, Jan Pieper,  https://dblp.uni-trier.de/pers/hd/p/Pieper:Jan, 2
1038, Stephen Dill,  https://dblp.uni-trier.de/pers/hd/d/Dill:Stephen, 3
1039, Ravi Kumar,  https://dblp.uni-trier.de/pers/hd/k/Kumar_0001:Ravi, 43
1040, Jasmine Novak,  https://dblp.uni-trier.de/pers/hd/n/Novak:Jasmine, 4
1041, Prabhakar Raghavan,  https://dblp.uni-trier.de/pers/hd/r/Raghavan:Prabhakar, 5
1042, Andrew Tomkins,  https://dblp.uni-trier.de/pers/hd/t/Tomkins:Andrew, 22
1043, Wen-tau Yih,  https://dblp.uni-trier.de/pers/hd/y/Yih:Wen=tau, 6
1044, Vitor R. Carvalho,  https://dblp.uni-trier.de/pers/hd/c/Carvalho:Vitor_R=, 6
1045, Reid Andersen,  https://dblp.uni-trier.de/pers/hd/a/Andersen:Reid, 3
1046, Kevin J. Lang,  https://dblp.uni-trier.de/pers/hd/l/Lang:Kevin_J=, 6
1047, Masashi Toyoda,  https://dblp.uni-trier.de/pers/hd/t/Toyoda:Masashi, 2
1048, Masaru Kitsuregawa,  https://dblp.uni-trier.de/pers/hd/k/Kitsuregawa:Masaru, 21
1049, Engin Kirda,  https://dblp.uni-trier.de/pers/hd/k/Kirda:Engin, 3
1050, Christopher Krugel,  https://dblp.uni-trier.de/pers/hd/k/Kr=uuml=gel:Christopher, 2
1051, Mourad Ouzzani,  https://dblp.uni-trier.de/pers/hd/o/Ouzzani:Mourad, 49
1052, Federica Paci,  https://dblp.uni-trier.de/pers/hd/p/Paci:Federica, 3
1053, Elisa Bertino,  https://dblp.uni-trier.de/pers/hd/b/Bertino:Elisa, 41
1054, Taro Tezuka,  https://dblp.uni-trier.de/pers/hd/t/Tezuka:Taro, 3
1055, Takeshi Kurashima,  https://dblp.uni-trier.de/pers/hd/k/Kurashima:Takeshi, 4
1056, Katsumi Tanaka,  https://dblp.uni-trier.de/pers/hd/t/Tanaka:Katsumi, 29
1057, Weizheng Gao,  https://dblp.uni-trier.de/pers/hd/g/Gao:Weizheng, 3
1058, Hyun Chul Lee,  https://dblp.uni-trier.de/pers/hd/l/Lee:Hyun_Chul, 3
1059, Yingbo Miao,  https://dblp.uni-trier.de/pers/hd/m/Miao:Yingbo, 2
1060, Tamas Sarlos,  https://dblp.uni-trier.de/pers/hd/s/Sarl=oacute=s:Tam=aacute=s, 8
1061, Andras A. Benczur,  https://dblp.uni-trier.de/pers/hd/b/Bencz=uacute=r:Andr=aacute=s_A=, 6
1062, Karoly Csalogany,  https://dblp.uni-trier.de/pers/hd/c/Csalog=aacute=ny:K=aacute=roly, 2
1063, Amit P. Sheth,  https://dblp.uni-trier.de/pers/hd/s/Sheth:Amit_P=, 19
1064, Helen Ashman,  https://dblp.uni-trier.de/pers/hd/a/Ashman:Helen, 2
1065, Balachander Krishnamurthy,  https://dblp.uni-trier.de/pers/hd/k/Krishnamurthy:Balachander, 5
1066, Craig E. Wills,  https://dblp.uni-trier.de/pers/hd/w/Wills:Craig_E=, 2
1067, Janet L. Wiener,  https://dblp.uni-trier.de/pers/hd/w/Wiener:Janet_L=, 10
1068, Marcos Kawazoe Aguilera,  https://dblp.uni-trier.de/pers/hd/a/Aguilera:Marcos_Kawazoe, 2
1069, Amin Vahdat,  https://dblp.uni-trier.de/pers/hd/v/Vahdat:Amin, 2
1070, Marta Patino-Martinez,  https://dblp.uni-trier.de/pers/hd/p/Pati=ntilde=o=Mart=iacute=nez:Marta, 3
1071, Ricardo Jimenez-Peris,  https://dblp.uni-trier.de/pers/hd/j/Jim=eacute=nez=Peris:Ricardo, 5
1072, Ziv Bar-Yossef,  https://dblp.uni-trier.de/pers/hd/b/Bar=Yossef:Ziv, 9
1073, Maxim Gurevich,  https://dblp.uni-trier.de/pers/hd/g/Gurevich:Maxim, 7
1074, Rosie Jones,  https://dblp.uni-trier.de/pers/hd/j/Jones:Rosie, 15
1075, Benjamin Rey,  https://dblp.uni-trier.de/pers/hd/r/Rey:Benjamin, 3
1076, Omid Madani,  https://dblp.uni-trier.de/pers/hd/m/Madani:Omid, 3
1077, Yutaka Matsuo,  https://dblp.uni-trier.de/pers/hd/m/Matsuo:Yutaka, 12
1078, Masahiro Hamasaki,  https://dblp.uni-trier.de/pers/hd/h/Hamasaki:Masahiro, 4
1079, Takuichi Nishimura,  https://dblp.uni-trier.de/pers/hd/n/Nishimura:Takuichi, 3
1080, Hideaki Takeda,  https://dblp.uni-trier.de/pers/hd/t/Takeda_0001:Hideaki, 7
1081, Mitsuru Ishizuka,  https://dblp.uni-trier.de/pers/hd/i/Ishizuka:Mitsuru, 11
1082, Meenakshi Nagarajan,  https://dblp.uni-trier.de/pers/hd/n/Nagarajan:Meenakshi, 6
1083, Li Ding,  https://dblp.uni-trier.de/pers/hd/d/Ding_0001:Li, 4
1084, Pranam Kolari,  https://dblp.uni-trier.de/pers/hd/k/Kolari:Pranam, 10
1085, Anupam Joshi,  https://dblp.uni-trier.de/pers/hd/j/Joshi:Anupam, 13
1086, Tim Finin,  https://dblp.uni-trier.de/pers/hd/f/Finin:Tim, 14
1087, Xian Wu,  https://dblp.uni-trier.de/pers/hd/w/Wu:Xian, 7
1088, Lei Zhang,  https://dblp.uni-trier.de/pers/hd/z/Zhang_0007:Lei, 3
1089, Yong Yu,  https://dblp.uni-trier.de/pers/hd/y/Yu_0001:Yong, 57
1090, Jalal Mahmud,  https://dblp.uni-trier.de/pers/hd/m/Mahmud:Jalal, 19
1091, I. V. Ramakrishnan,  https://dblp.uni-trier.de/pers/hd/r/Ramakrishnan:I=_V=, 6
1092, Jian-Tao Sun,  https://dblp.uni-trier.de/pers/hd/s/Sun:Jian=Tao, 18
1093, Xuanhui Wang,  https://dblp.uni-trier.de/pers/hd/w/Wang:Xuanhui, 16
1094, Dou Shen,  https://dblp.uni-trier.de/pers/hd/s/Shen:Dou, 14
1095, Hua-Jun Zeng,  https://dblp.uni-trier.de/pers/hd/z/Zeng:Hua=Jun, 5
1096, Zheng Chen,  https://dblp.uni-trier.de/pers/hd/c/Chen_0001:Zheng, 46
1097, Reiner Kraft,  https://dblp.uni-trier.de/pers/hd/k/Kraft_0001:Reiner, 4
1098, Chi-Chao Chang,  https://dblp.uni-trier.de/pers/hd/c/Chang:Chi=Chao, 3
1099, Farzin Maghoul,  https://dblp.uni-trier.de/pers/hd/m/Maghoul:Farzin, 3
1100, Harith Alani,  https://dblp.uni-trier.de/pers/hd/a/Alani:Harith, 3
1101, Paolo Bouquet,  https://dblp.uni-trier.de/pers/hd/b/Bouquet:Paolo, 2
1102, Markus Jakobsson,  https://dblp.uni-trier.de/pers/hd/j/Jakobsson:Markus, 2
1103, Jacob Ratkiewicz,  https://dblp.uni-trier.de/pers/hd/r/Ratkiewicz:Jacob, 3
1104, Sid Stamm,  https://dblp.uni-trier.de/pers/hd/s/Stamm:Sid, 2
1105, Qiaozhu Mei,  https://dblp.uni-trier.de/pers/hd/m/Mei:Qiaozhu, 32
1106, Chao Liu,  https://dblp.uni-trier.de/pers/hd/l/Liu_0001:Chao, 2
1107, Hang Su,  https://dblp.uni-trier.de/pers/hd/s/Su:Hang, 3
1108, ChengXiang Zhai,  https://dblp.uni-trier.de/pers/hd/z/Zhai:ChengXiang, 84
1109, Qiankun Zhao,  https://dblp.uni-trier.de/pers/hd/z/Zhao:Qiankun, 7
1110, Steven C. H. Hoi,  https://dblp.uni-trier.de/pers/hd/h/Hoi:Steven_C=_H=, 15
1111, Tie-Yan Liu,  https://dblp.uni-trier.de/pers/hd/l/Liu:Tie=Yan, 25
1112, Sourav S. Bhowmick,  https://dblp.uni-trier.de/pers/hd/b/Bhowmick:Sourav_S=, 59
1113, Michael R. Lyu,  https://dblp.uni-trier.de/pers/hd/l/Lyu:Michael_R=, 32
1114, Wei-Ying Ma,  https://dblp.uni-trier.de/pers/hd/m/Ma:Wei=Ying, 24
1115, Utku Irmak,  https://dblp.uni-trier.de/pers/hd/i/Irmak:Utku, 5
1116, Torsten Suel,  https://dblp.uni-trier.de/pers/hd/s/Suel:Torsten, 25
1117, Anupriya Ankolekar,  https://dblp.uni-trier.de/pers/hd/a/Ankolekar:Anupriya, 4
1118, Katia P. Sycara,  https://dblp.uni-trier.de/pers/hd/s/Sycara:Katia_P=, 2
1119, Robert E. Kraut,  https://dblp.uni-trier.de/pers/hd/k/Kraut:Robert_E=, 3
1120, Markus Krotzsch,  https://dblp.uni-trier.de/pers/hd/k/Kr=ouml=tzsch:Markus, 4
1121, Denny Vrandecic,  https://dblp.uni-trier.de/pers/hd/v/Vrandecic:Denny, 4
1122, Rudi Studer,  https://dblp.uni-trier.de/pers/hd/s/Studer:Rudi, 4
1123, Giovanni Pacifici,  https://dblp.uni-trier.de/pers/hd/p/Pacifici:Giovanni, 2
